trait,attribute,family
total length,up to 800 mm and more,viperidae
dorsal scales,"23(rows at midbody), rarely 21",viperidae
supralabials,7–8,viperidae
ventrals,148–175,viperidae
subcaudals,34-52,viperidae
supralabial scales,7-8,viperidae
dorsal scales,"23, very rarely 21",viperidae
ventral scales,between 148-175,viperidae
subcaudal scales,"paired, between 34-52",viperidae
body,28-45 dark transverse bands,viperidae
dark transverse bands,"each 3-6 scales wide, extending down to scale row 2 or 1",viperidae
total length,up to 990 mm,viperidae
dorsal scales at midbody,23-25,viperidae
ventrals,145 – 170,viperidae
subcaudals,32 – 49,viperidae
supralabials,"7, rarely 8",viperidae
total length (qianshanensis),up to 730 mm,viperidae
three palatine teeth,no adjective,viperidae
dorsum,light gray,viperidae
dorsum pattern,dark gray irregular x-shaped,viperidae
postorbital stripe,black with white lower margin,viperidae
postorbital stripe width,smaller than eye diameter but larger than half of the eye diameter,viperidae
head shape,"flat and slender, slightly triangular",viperidae
mid-body dorsal scales (qianshanensis),23,viperidae
ventral scales (qianshanensis),153–170,viperidae
subcaudals (qianshanensis),33–49,viperidae
dorsum color (qianshanensis),light or dark gray,viperidae
dorsum pattern (qianshanensis),dark gray x-shaped spots,viperidae
postorbital stripe color (qianshanensis),black,viperidae
postorbital stripe width (qianshanensis),less than eye diameter but more than half of the eye diameter,viperidae
stripes over dorsal scales (qianshanensis),cover 3–21 or 4–20 rows,viperidae
total length,up to 650 mm,viperidae
dorsal scales at midbody,21 rows,viperidae
ventrals,139 – 161,viperidae
subcaudals,34 – 54,viperidae
supralabials,7,viperidae
dorsum of the head,completely black,viperidae
ventral scales,215–234 in females and 213–236 in males,viperidae
head of l. muta,dark blotches over much of its surface,viperidae
dorsal blotches in lachesis muta,do not form vertical bars laterally,viperidae
dorsal scales,"verrucate, tuberculate, almost pyramidal",viperidae
parietals,tuberculate,viperidae
hemipenes,more than 70 spines per lobe,viperidae
distal subcaudals,twice-divided,viperidae
distal subcaudal scales,twice-divided,viperidae
head,predominantly unpigmented dorsally,viperidae
ventral scales in females,197–211,viperidae
ventral scales in males,215–234,viperidae
viper,"large, robust",viperidae
length,"90-130 cm, 150 cm, rarely longer than 2 m",viperidae
head,"thick, wide, triangular",viperidae
eyes,"pupils with vertical slits, iris pale gray or slightly orange, marbled with dark in its lower part",viperidae
snout,"slightly prominent, rounded",viperidae
scales on the sides of snout and head,slightly larger and preeminent,viperidae
nasal plate,complex and divided,viperidae
pit on the nasal plate,"hollow, as large as or larger than the eye",viperidae
top of the head,covered in small keeled scales,viperidae
supraoculars,divided into 2 or 3 parts,viperidae
subocular scales,3 (sometimes 2.5) rows,viperidae
scales around the eye,11-18,viperidae
supralabials,10 or 11(rarely 9 or 12) on each side,viperidae
dorsal scales,matte or only slightly shiny,viperidae
rows of dorsal scales,25 (rarely 27),viperidae
ventral plates,128-181,viperidae
anal scute,undivided,viperidae
subcordals,divided and arranged in pairs,viperidae
overall coloration,"pale grey, beige, sandy, yellowish, olive, greenish or bluish- grey, sometimes uniform red-brown or brick-colored",viperidae
marbled colors,dark or pale borders,viperidae
body spots,minuscule ochre or yellowish,viperidae
head side,darker than the top,viperidae
belly,"pale grey, whitish or grey-brown with much dark grey or blackish mottling",viperidae
subcaudals male,37-43,viperidae
subcaudals female,42-51,viperidae
maximum length,98.5 cm,viperidae
relative tail length in male,12.6% and 13.2% of total length,viperidae
relative tail length in female,10.1 and 13.1% of total length,viperidae
dorsal head shields,small and keeled,viperidae
rostral,horizontally divided,viperidae
suprarostral,separated from the nasals by 'nasorostrals',viperidae
dorsal scale rows,regular duplication,viperidae
microornamentation,numerous elongate erect lamellae,viperidae
subcaudals,paired,viperidae
vomerine process of premaxilla,much reduced,viperidae
hemipenis,"with extensive naked zones, relatively short spines and no terminal awn or basal hooks",viperidae
skull ectopterygoid,without a lateral flange or anterior process,viperidae
postorbital bone,long and narrow,viperidae
splenial,absent,viperidae
angular,present,viperidae
head,"elongate, depressed",viperidae
scales on head,small elongate keeled scales,viperidae
snout,"short, rounded and with well-marked canthus rostralis",viperidae
rostral,"hexagonal, three times as broad as deep",viperidae
suprarostral,"large hexagonal, separated from the nasal by large ""nasorostrals""",viperidae
circumocular scales,11-13,viperidae
nostril,"large, directed laterally",viperidae
intemasals,4-5,viperidae
supralabials,8-9,viperidae
infralabials,8-10,viperidae
interocunasals,2-3,viperidae
interorbitals,9,viperidae
dorsal scales,"in 25-28 rows at midbody, strongly keeled and imbricate",viperidae
ventrals,130-138,viperidae
anal,entire,viperidae
subcaudals,smooth in 27-36 pairs,viperidae
hemipenis,"with a naked zone on the medial face of each lobe, extending from the fork of the organ to the apical region",viperidae
subcaudal scales,entire,viperidae
scale,"vertical, horn-like, inner groove",viperidae
scales,in 21 rows,viperidae
ventrals,146,viperidae
subcaudals,40,viperidae
supralabials,10 to 12,viperidae
head,nearly three times as broad as neck,viperidae
snout,"rounded, slightly projecting",viperidae
rostral,twice as broad as high,viperidae
scales forming inner edge of pit,three,viperidae
rows between pit and eye,three or four,viperidae
"""horn""","three mm. high, 2.2 mm. long",viperidae
rows of scales between horns,eleven,viperidae
dorsal head scales,heavily keeled,viperidae
supralabials and infralabials,eleven,viperidae
one pair of chinshields,not much longer than broad,viperidae
ventral scales,"smooth, flat",viperidae
dorsals,in 23-21-17 rows,viperidae
general ground color,"light tan, slightly suffused with pink, heavily stippled with dark brown",viperidae
blotches,"diagonal brown, dark-edged anteriorly",viperidae
postocular stripe,"light, one and one-half to two scales broad",viperidae
upper surface of head,dark brown,viperidae
belly,heavily pigmented,viperidae
dorsal surface of tail,"nearly uniform dark brown, nearly black",viperidae
ventral and caudal counts,amazingly uniform,viperidae
ventrals,all 146,viperidae
tails,40,viperidae
rostral,"broader than high, moderately to distinctly concave",viperidae
preoculars,"upper largest, undivided and middle not fused with supralacunal, lower small, somewhat excluded from margin of orbit",viperidae
supraoculars,three to four,viperidae
supralabials,ten to 13,viperidae
infralabials,nine to 14,viperidae
scale above eye,"single, forming long, relatively slender spine, slightly compressed to sub-circular in cross section, tip pointed",viperidae
intersupraoculars,ten to 20 (usually 12–18),viperidae
supralabial,usually separated from prelacunal by single small subfoveal,viperidae
ventrals,157–178,viperidae
subcaudals,37–57,viperidae
tail spine,"straight, about as long as preceding two to three subcaudals, pointed or obtusely rounded",viperidae
frontal bones,"with concave dorsal surface, strongly elevated margins, moderately longer than wide",viperidae
palatine teeth,zero to one (usually zero),viperidae
pterygoid teeth,seven to ten,viperidae
dentary teeth,seven to nine,viperidae
maxillary fang,"relatively short, only slightly longer than height of maxilla",viperidae
dorsum color,"zig-zag pattern; ground colour olive-brown, green, or grey, sometimes orange or yellow",viperidae
dorsal scales,usually finely mottled or speckled with black,viperidae
snout,moderate,viperidae
eye,very small,viperidae
distance from the mouth,twice its own diameter,viperidae
rostral,a little broader than high,viperidae
upper head scales,"large, subimbricate, obtusely keeled",viperidae
supraoculars,very large,viperidae
internasals,three,viperidae
supralabials,six,viperidae
infralabials,ten and eleven,viperidae
sublinguals,a single pair of elongated,viperidae
scales,"in 19.19.15 rows, the median rows strongly keeled anteriorly, feebly keeled posteriorly",viperidae
ventrals,143,viperidae
subcaudals,20 pairs,viperidae
tail,not prehensile,viperidae
upper body color,"brownish with irregular blackish, light edged blotches which posteriorly become transverse bands",viperidae
lower body color,yellowish below heavily powdered with grey,viperidae
stripe behind the eye,oblique black bordered below with white,viperidae
total length,645 mm,viperidae
tail length,45 mm,viperidae
ventrals in paratype,130,viperidae
subcaudals in paratype,20 pairs,viperidae
body,stout,viperidae
snout,"short, a little more than twice the length of the diameter of the eye",viperidae
head,"small scaled, usually smooth, feebly imbricate",viperidae
first upper labial,"not fused to nasal, completely separated by a suture",viperidae
body scales,smooth or weakly keeled,viperidae
longitudinal rows at midbody,23-25,viperidae
supraoculars,"large, 5-9 scales in a line between them",viperidae
internasals,"usually not in contact with one another, separated by 2 small suprapostrostral scales",viperidae
upper labials,7-10,viperidae
ventrals and subcaudals in different areas,"137-176 and 36-62, 127-144 and 36-54, and 133-137 and 22-28",viperidae
total length (males),490 mm,viperidae
total length (females),1100 mm,viperidae
tail length (males),80 mm,viperidae
tail length (females),150 mm,viperidae
third supralabial,larger than the fourth,viperidae
subcaudals,paired,viperidae
ventral scales,135-152,viperidae
snout,"short, obliquely truncate",viperidae
sharp raised angle,all round,viperidae
eye,rather small,viperidae
rostral,deeper than broad,viperidae
nasal,divided,viperidae
upper head-scales,"small, subimbricate, smooth",viperidae
number of scales between supraoculars,6-9,viperidae
internasals,separated in front by a pair of scales,viperidae
temporal scales,obtusely keeled,viperidae
upper labials,"7 or 8, second entering the loreal pit, third largest",viperidae
scales,"strongly keeled, in 21 or 23 rows",viperidae
ventral,129-130,viperidae
anal,entire,viperidae
subcaudals,43-47 pairs,viperidae
coloration,brown above,viperidae
cross-bands,darker,viperidae
surface of head,dark brown,viperidae
sides of head,blackish,viperidae
temple,lighter streak,viperidae
lower parts color,brown,viperidae
blackish blotches,"partly on the ventrals, partly on the two lower rows of scales",viperidae
total length,350 mm,viperidae
tail length,60 mm,viperidae
fourth supralabial,larger than the third,viperidae
subcaudals,predominantly single,viperidae
ventral scales,127–145,viperidae
ventral count,142-144,viperidae
dark dorsal blotches,much wider than the light interspaces,viperidae
dorsal rows,maximum of 25,viperidae
subcaudals,27 to 32,viperidae
supralabials,normally nine (exceptionally eight or 10),viperidae
infralabials,10 or 11,viperidae
dark dorsal blotches,20 to 23,viperidae
male size,162-463 mm,viperidae
female size,156-635 mm,viperidae
dorsum color,"yellowish brown, pale brown, gray",viperidae
dorsum pattern,series of 15-23 dark blotches,viperidae
blotch outline color,narrow white,viperidae
vertebral line color,"white, orange, orangish tan",viperidae
venter color,heavily stippled with brown,viperidae
head mark,"broad, arrow-shaped mark pointing anteriorly",viperidae
side of head color,dark,viperidae
side of head line color,pale,viperidae
chin color,dark with white markings.,viperidae
scale rows at midbody,21-27,viperidae
ventral in males,123-143,viperidae
ventral in females,127-145,viperidae
subcaudals in males,27-41,viperidae
subcaudals in females,24-35,viperidae
supralabials,8-11,viperidae
infralabials,9-13,viperidae
interna• sals characteristic,"paired, elongate, elevated anteriorly, usually in contact",viperidae
intercanthals,3-7,viperidae
postcanthals,"1 -2, usually 1",viperidae
interoculars,3-7,viperidae
interictals,19 -28,viperidae
prefoveals,2-12,viperidae
subfoveals,1-7,viperidae
suboculars,1-4,viperidae
postoculars,1-4,viperidae
oculabials,1-4,viperidae
the loreal,wider than high,viperidae
anal plate,single,viperidae
hemipenis features,"divided with a bifurcate sulcus spermaticus, the sulcus dividing close to the base of the organ, the basal portion of the organ and the areas lateral to and between the branches of the sulcus are spinulate, the shoulders and the absulcate side of the organ are covered with spines, terminating with a pair of enlarged basal spines",viperidae
other anatomical features,"tail is not prehensile, apical pits are absent",viperidae
dorsal blotches,alternating,viperidae
ground color,paler,viperidae
subcaudals,single,viperidae
tail,tail not prehensile,viperidae
supralabials,separated from border of loreal pit by small row of scales,viperidae
internasals,elongate and elevated anteriorly,viperidae
ventrals,123-145,viperidae
canthal,single,viperidae
scale rows at vent,usually 19,viperidae
thermosensitive pit,located between the eye and nostril,viperidae
p. ophryomegas,many small scales on top of the head,viperidae
supraocular scale,"single, large",viperidae
scales row between chinshields and first preventral,2-3,viperidae
p. ophryomegas tail,non-prehensile,viperidae
dorsal surfaces,brown to black with darker blotches,viperidae
superciliary scales,no enlarged,viperidae
subcaudal scales,"single, fewer than 50",viperidae
dorsal scale rows at midbody,23-27,viperidae
ventrals,more than 150,viperidae
tail,no rattle or button,viperidae
ventrals,more than 150,viperidae
canthals on each side,paired,viperidae
tip of snout,no dorsal extension,viperidae
snout,turned up in front,viperidae
rostral,no more than one and one-half times as high as wide,viperidae
scale rows,21 posteriorly,viperidae
lower preoculars,"two, subequal",viperidae
scutes on top of head,"two large, bordering internasals and canthals, nearly meeting medially",viperidae
loreal,square,viperidae
caudals,32-41 in females,viperidae
bands on body,single,viperidae
dorsal head shields,"small, keeled",viperidae
supraocular shields,"large, rugose",viperidae
nasals,in broad contact with rostral,viperidae
palatine-pterygoid articulation,interlocking joint,viperidae
intrapulmonary bronchus,long,viperidae
subcaudals,paired,viperidae
ectopterygoid,without a lateral flange or anterior process,viperidae
postorbital bone,"long, narrow",viperidae
angular,present,viperidae
head,"elongate, depressed",viperidae
snout,"short, rounded, well-marked canthus rostralis",viperidae
rostral,"hexagonal, one and a half times as broad as deep, in long contact with the nasals",viperidae
supraocular shield,"large, rugose",viperidae
circumorbital scales,8-14,viperidae
nostril,"large, directed dorsolaterally",viperidae
nasal,semidivided,viperidae
internasals,1-3,viperidae
supralabials,smooth 8-11,viperidae
infralabials,smooth 10-13,viperidae
mental,"small, triangular",viperidae
sublinguals,single pair,viperidae
interocunasals,2,viperidae
scales between supraoculars,4-6,viperidae
dorsal scales,27-29,viperidae
outermost row,"enlarged, feebly keeled to smooth",viperidae
ventral smooth,131-156,viperidae
subcaudals,32-45 pairs,viperidae
hemipenis,"deeply bifurcate, forking at level of second subcaudal, extending posteriorly to between levels of seventh and tenth subcaudal",viperidae
"organ, below bifurcation",transversely folded,viperidae
basal half,densely covered with enlarged spines,viperidae
distal half,covered with shorter and broader spines,viperidae
tip of organ,shallow calyces,viperidae
sulci,deeply divided,viperidae
terminal awn at tip of organ,"short, blunt",viperidae
scales,in 21 longitudinal rows at midbody (rarely 23),viperidae
snout length,a little more than twice diameter of eye,viperidae
head above,"covered by small, unequal, smooth scales that are feebly imbricate or juxtaposed",viperidae
first labial,completely separated from nasal by a suture,viperidae
internasals,separated by 1–2 small scales,viperidae
small scales,6–9 in line between supraoculars,viperidae
upper labials,7–8,viperidae
upper labials,"third and fourth beneath eye, in contact with subocular or separated by at most a single series of small scales",viperidae
ventral scales - males,164–188,viperidae
ventral scales - females,167–193,viperidae
subcaudals - males,50–78,viperidae
subcaudals - females,44–76,viperidae
total length - males,835 mm,viperidae
total length - females,990 mm,viperidae
tail length - males,140 mm,viperidae
tail length - females,160 mm,viperidae
scales at midbody,23-25 longitudinal rows,viperidae
body,elongate,viperidae
head,"long, massive",viperidae
snout,narrow,viperidae
canthus rostralis,sharp,viperidae
loreal,"single large, squarish",viperidae
upper labial,completely separated from nasal by a suture,viperidae
second upper labial,anteriorly bordering facial pit,viperidae
scales between supraoculars,8–10,viperidae
supraoculars,"single, flat, without a vertical projection",viperidae
color,"dull grayish or olive green, large, blackish rhombohedral dorsal blotches, spectral yellow lines on the head",viperidae
spots on sides,smaller,viperidae
subcaudals,paired,viperidae
ventrals,201-212,viperidae
subcaudals,"66-78, some of the anterior scutes may be single, others paired",viperidae
hemipenes,with spines,viperidae
total length,"male 1340 mm, female 1410 mm",viperidae
tail length,"male 225 mm, female 230 mm",viperidae
coloration,"olive green, dark diamond-shaped or angular vertebral spots",viperidae
vertebral spot,"covers from 12 to 20 scales, green at the centres and black at the edges",viperidae
lower parts,"grey with large, squarish or semi-lunar yellow spots",viperidae
head,black with yellow longitudinal lines,viperidae
scales,in 25 longitudinal rows at midbody,viperidae
scales on upper surface of head,"small, each scale keeled posteriorly",viperidae
internasals,5–10 times size of adjacent scales,viperidae
internasals,separated by 3–4 scales,viperidae
supraoculars,"long, narrow, undivided",viperidae
interocular scales,14–16 small,viperidae
scales on line between upper preocular and nasal,2,viperidae
upper labials,9–11,viperidae
first upper labial,separated from nasal by suture,viperidae
small scales between upper labials and subocular,2–3,viperidae
rows of temporal scales above upper labials,"smooth, above those scales keeled",viperidae
rows of temporal scales,2-3,viperidae
ventrals,200–218,viperidae
subcaudals,"76–91, all paired",viperidae
color,grayish or olive brown above,viperidae
dorsal series of large brown spots or blotches,no adjective,viperidae
lateral series of smaller spots,no adjective,viperidae
head color,brownish,viperidae
belly color,whitish but heavily powdered with light brown,viperidae
tail color,brownish (possibly pink in life),viperidae
hemipenes,spinose,viperidae
total length males,1122 mm,viperidae
total length females,1160 mm,viperidae
tail length males,195 mm,viperidae
tail length females,205 mm,viperidae
snout to vent length (svl),up to 391 mm,viperidae
tail,up to 64 mm,viperidae
anterior dorsal scale rows (dsr),20-22,viperidae
mid body scale rows (msr),19 to 21,viperidae
posterior scale rows (psr),15 to 17,viperidae
dorsal surface of the head,small juxtaposed scales,viperidae
rostral scale,sub-triangular,viperidae
supraoculars,separated by 9 to 11 scales on the posterior end,viperidae
canthus rostralis,distinct with three canthal scales,viperidae
preoculars,two to three,viperidae
postoculars,two to three,viperidae
subocular,thin elongated crescent-shaped,viperidae
pupil,distinct elliptical,viperidae
nasal scale,"completely covering the nostril, undivided, subrectangular",viperidae
supralabials,nine to 10,viperidae
infralabials,10 to 12,viperidae
genials,"first pair in contact with 1st, 2nd and 3rd infralabial scale",viperidae
ventrals,134 to 142,viperidae
anal scale,undivided,viperidae
subcaudals scales,38 to 44,viperidae
terminal scale on the tail,"larger than the previous, blunt at the tip",viperidae
dorsum color,bronze to light brown,viperidae
dorsum pattern,continuous alternating saddle-shaped pattern in dark brown to black,viperidae
preocular/temporal stripe,dark brown,viperidae
post ocular stripe,dirty brown,viperidae
ventrals color,light creamish to white,viperidae
nape markings,prominent horse shoe shaped,viperidae
juvenile color,light brown,viperidae
rostral,separated from the anterior nasal shield by small scales,viperidae
scale-covered horn-like projections,over the eyes,viperidae
lateral scales,large and smooth,viperidae
ventrals,not angulate,viperidae
dorsal scales,"only 21 rows, two series of scales between the nasal and the rostral",viperidae
body,stout,viperidae
head,broad,viperidae
tail,.11 of the total length,viperidae
rostral,broader than high,viperidae
anterior nasal,large crescentic,viperidae
nasal,separated from the labials by a single row of scales,viperidae
eye,surrounded by a ring of 15 subequal scales,viperidae
scale-covered tubercle,directed outward and backward above the eye,viperidae
dorsal scales,"with two apical pits, strongly keeled, the keels shorter than the scales and swollen posteriorly",viperidae
ventral,"smooth, with no trace of sharp angulation or keel",viperidae
subcaudals,"35, the terminal six scale-like",viperidae
general color,pale yellowish brown,viperidae
dorsal scales,several with dark spots,viperidae
ventral surface,uniform pale straw-color,viperidae
sides of head,darker brown,viperidae
tip of tail,black,viperidae
total length,726 mm,viperidae
tail,81 mm,viperidae
greatest body diameter,38 mm,viperidae
diameter of neck,13 mm,viperidae
greatest width of head,28 mm,viperidae
head,distinct from neck,viperidae
head scales,small,viperidae
pupil of eye,vertical,viperidae
nostril,directed outwards and upwards,viperidae
nasal shield,"large, undivided",viperidae
supralabials,"serrated lower margin, inner groove",viperidae
body scales,"in 21–25 longitudinal rows, none obliquely disposed",viperidae
keels on body scales,"do not reach posterior edge of scale but end in swollen knob before outer edge, not serrated",viperidae
ventrals,"rounded, without lateral keels",viperidae
tail,short,viperidae
subcaudals,paired,viperidae
head shape,"depressed, snout short and broadly rounded",viperidae
diameter of the eye,less than its distance from the mouth,viperidae
nostril,very large,viperidae
scales on top of the head,"small, imbricate, smooth on the snout, keeled behind in the young, tuberculate and more strongly keeled in the adult",viperidae
erect horn-like scale above the eye,surrounded by small scales,viperidae
scales between the horns,9–12,viperidae
scales round the eye,16–20,viperidae
temporal scales,"small, keeled",viperidae
supralabials,13–14,viperidae
a pair of large anterior genials,larger than the others,viperidae
ventral scales,"v144–158; c 34–49, paired",viperidae
hemipenis,"short, extending to the 8th caudal plate, deeply forked, the distal end is calyculate, the remainder spinose, the largest spines being at the proximal end; sulcus lips also spinose",viperidae
snout-vent length,"688–690 mm, tail 80–85 mm",viperidae
color,"grayish-brown above, with squarish, dark brown, black-edged spots, top of the head pale grey, upper lip and side of the head darker, whitish beneath, spotted with brown.",viperidae
tail,often dark in large adults,viperidae
total length,890 mm; tail 110 mm,viperidae
size,40-100 cm total length,viperidae
crown shields,9 symmetrical,viperidae
tails,"short, 7 to 12 percent of total length, well developed rattles",viperidae
upper preocular,usually in contact with postnasal,viperidae
supralabial number,10-14,viperidae
infralabials,10-15,viperidae
dorsal scales,"keeled except for the lowest one or two rows, in 23 or 25 rows at midbody",viperidae
color pattern,"seven rows of alternating dark blotches, those of median row largest and most conspicuous",viperidae
tail,with alternating pale and dark bands,viperidae
animal size,"small, maximum tbl 83.2 cm, but typically 40-55 cm",viperidae
dorsal surface of the head,nine enlarged scales,viperidae
dark dorsal body blotches,series of 22-45,viperidae
rows of dark spots on sides,one to three,viperidae
vertebral stripe,red to orange,viperidae
body,normally gray or tan,viperidae
individuals,reddish orange to brick red,viperidae
venter,whitish to cream-colored with a moderate to heavy pattern of dark blotches,viperidae
bar from eye,black or reddish brown,viperidae
stripes on the back of the head,"dark longitudinal, often wavy",viperidae
dorsal body scales,have keels,viperidae
anterior scale rows,23-25,viperidae
midbody scale rows,21-23 (19-25),viperidae
scale rows near the vent,17 (15-19),viperidae
venter,has 122-148 ventral scutes,viperidae
subcaudals,25-39,viperidae
anal plate,undivided,viperidae
side of the head,"2 nasals, a loreal, 2 preoculars, 3-4(5-6) postoculars, 4-5 rows of temporals, 10-11 (8-13) supralabials, and 11-12 (9-14) infralabials",viperidae
hemipenis,similar to that of s. catenatus,viperidae
males,"usually smaller, and have longer tails, which are thicker at the base",viperidae
males ventrals,"122-148 (mean, 130)",viperidae
males subcaudals,"28-39 (mean, 34)",viperidae
males dark tail bands,"7-14 (mean, 11)",viperidae
males tls,"10-15 (mean, 12.5) % of tbl",viperidae
females ventrals,"123-148 (mean, 135)",viperidae
females subcaudals,"25-36 (mean, 30)",viperidae
females dark tail bands,"6-13 (mean, 9)",viperidae
females tls,"9-12 (mean, 10.5) % of tbl",viperidae
color (miliarius),gray to reddish brown,viperidae
head pattern (miliarius),well-marked,viperidae
lateral spots (miliarius),one to two rows,viperidae
anterior and midbody scale rows (miliarius),usually 25 and 23,viperidae
ventral spots (miliarius),dark at least two scutes wide,viperidae
coloration (barbouri),dark,viperidae
head pattern (barbouri),obscure,viperidae
rows of dark blotches on each side of the main series (barbouri),3,viperidae
ventral surface (barbouri),white heavily blotched or distinctly spotted with black or very dark brown,viperidae
number of ventrals (barbouri),5 to 10,viperidae
scale row formula (barbouri),25-23-17,viperidae
total length (barbouri),493 mm,viperidae
length of tail (barbouri),63 mm,viperidae
top of head (barbouri),flat,viperidae
shields on the top of the head (barbouri),covered by 9,viperidae
rostral (barbouri),"higher than wide, truncate at the top",viperidae
preoculars (barbouri),"2, lower of which is divided vertically",viperidae
loreal (barbouri),"single high, in broad contact above with the prefrontal",viperidae
subocular on each side (barbouri),1 large anterior,viperidae
supralabials (barbouri),10 on each side,viperidae
infralabials (barbouri),10 on each side,viperidae
temporals (barbouri),"smooth, those of the upper rows keeled",viperidae
chin shields (barbouri),about 1.5 times as long as broad,viperidae
ventral scute (barbouri),143,viperidae
caudals (barbouri),"36, the distal 4 divided",viperidae
anal plate (barbouri),not divided,viperidae
dorsal ground color (barbouri),brownish gray,viperidae
top of head (barbouri),"rostral, nasals, loreals and preoculars brownish black",viperidae
labials (barbouri),almost all black,viperidae
stripe from the eye to the back of the head (barbouri),"blackish brown, light-edged",viperidae
mid-dorsal series of blotches from neck to base of tail (barbouri),34 subovate black,viperidae
ventral surface (barbouri),"cream, heavily blotched and stippled with deep brownish black",viperidae
anterior scale rows (streckeri),smaller number 23-21-17,viperidae
pattern (streckeri),"very irregular: the blotches of the mid-dorsal series are conspicuously wider than long; there are but 1 or 2 series of spots on the sides, those of the midlateral series are usually higher than wide",viperidae
ventral surface (streckeri),"dark pigment of the ventral surface is diffuse, and the ventral blotches are usually not wider than 1 scute",viperidae
average number of ventrals (streckeri),lowest in this form,viperidae
crown (streckeri),"covered by 9 plates, arranged symmetrically",viperidae
rostral (streckeri),"higher than wide, apex truncate",viperidae
anterior subocular (streckeri),1 large,viperidae
postoculars (streckeri),5 one each side,viperidae
supralabials (streckeri),"11 on the left side, 10 on the right",viperidae
infralabials (streckeri),11 on each side,viperidae
temporals (streckeri),"keeled, except those of the lowest row of each side on which the keels are faint",viperidae
ventral scutes (streckeri),126,viperidae
subcaudal scales (streckeri),"33, the last 2 divided",viperidae
total length (streckeri),535 mm,viperidae
length of tail (streckeri),68 mm,viperidae
dorsal pattern (streckeri),"pale grayish brown, lightly stippled and flecked with brown",viperidae
cheek stripe (streckeri),dark brown,viperidae
body pattern (streckeri),"median dorsal series of dark brown blotches, about 30 in number",viperidae
ventral surface (streckeri),"cream, irregularly blotched laterally with grayish brown",viperidae
dorsal scales at midbody,21 rows,viperidae
total prefoveals,fewer than 3,viperidae
rattle,large,viperidae
dorsoventral width of proximal rattle segment,"usually exceeding 10% of tail length in males, 13% in females",viperidae
tail bands,2-4,viperidae
parietal scales,divided transversely,viperidae
dorsal scales at midbody,23 rows,viperidae
total prefoveals,usually numbering six or more,viperidae
rattle,small,viperidae
tail bands in males,3 to 6,viperidae
tail bands in females,2 to 4,viperidae
parietals,usually undivided,viperidae
dorsal scales usually at midbody,in 23 rows,viperidae
total prefoveals,usually exceeding 3 but not more than 6,viperidae
tail bands in males,5-8,viperidae
tail bands in females,4-6,viperidae
ventrals,144,viperidae
total length,approximately 660 mm,viperidae
scales,19-21 rows at midbody,viperidae
upper labials,10-12,viperidae
first upper labial,partially or completely fused to the nasal,viperidae
head scales,"small, subequal, feebly imbricate, smooth or weakly keeled",viperidae
supraoculars,"narrow, occasionally enlarged, undivided, 8-12 interocular scales between them",viperidae
temporal scales,smooth,viperidae
dorsal color,green,viperidae
side of head color,"yellow, white or pale green",viperidae
ventral color,"green, yellowish or white",viperidae
ventrolateral stripe,"present in all males, absent in females",viperidae
end of tail color,not mottled brown,viperidae
ventrals: males,155-166,viperidae
ventrals: females,152-176,viperidae
subcaudals: males,"60-72, paired",viperidae
subcaudals: females,"49-66, paired",viperidae
hemipenes,without spines,viperidae
total length: males,600 mm,viperidae
total length: females,810 mm,viperidae
tail length: males,120 mm,viperidae
tail length: females,130 mm,viperidae
dorsal scales,feebly keeled,viperidae
dorsal scales,in 21:21–23:15–19 rows,viperidae
ventrals,175–185,viperidae
subcaudals,"55–77, divided",viperidae
anal,single,viperidae
preoculars,2,viperidae
postoculars,2–3,viperidae
cephalic scales,10–12,viperidae
female color,lighter shade of creamy yellow to light brown,viperidae
male color,coffee brown to darker shades with or without intermittent black or brown banded pattern,viperidae
venter,plain or alternatively banded with dark brown and white,viperidae
overall pattern,"grey, brown or ochre with 20–30 darker crossbands",viperidae
males' background colour,shades of greyish-brown or yellowish-grey,viperidae
males' dorsolateral blotches,"darker, sometimes horizontally divided into two distinct blotches, separated darker areas, powdered with both cream and dark dots",viperidae
females' pattern,"less contrasted, in shades of ochre or yellowhish-brown with more or less brown subrectangular dorsolateral blotches, with broad darker edges and a wide lighter centre",viperidae
snout,"distinctly projected and raised, strongly obliquely truncated when seen from the side, subrectangular seen from above",viperidae
internasals,"projected, strongly spatulate and bilobate, distinctly upturned",viperidae
dsr at midbody,19 or usually 21 (rarely 20),viperidae
2nd supralabial,bordering the whole of the anterior margin of the loreal pit,viperidae
supraoculars,"1 to 3 moderate, narrow, usually flat, rarely convex",viperidae
ven,149–166,viperidae
sc,41–67,viperidae
occipital and temporal scales,"distinctly keeled in both sexes in adults, less so in juvenile specimens",viperidae
il of the first pair,not in contact each with the other,viperidae
hemipenes,"short, reaching 11th sc, entirely spinose",viperidae
adult females,usually light colored,viperidae
overall brown coloration,brown,viperidae
darker crossbands,25–30,viperidae
elongated darker dorsolateral blotches,"short, irregular",viperidae
background color,dark greyish-brown,viperidae
subrectangular or subtriangular dark greyish-brown blotche,dark greyish-brown,viperidae
ventral tips and 1st–2nd dsr,"large, subrectangular blotches, cream blotches",viperidae
snout,"distinctly projected, raised, strongly obliquely truncated, subrectangular",viperidae
internasals,"projected, strongly spatulate, bilobate, laterally expanded",viperidae
msr,"19 or 21, distinctly keeled",viperidae
supralabial,distinct from nasal,viperidae
supraoculars,"4 or 5, narrow, strongly erect and divergent",viperidae
